a|◊:b:o|m:b|	เ:อ|บ:อ|ม:บ:์|
t|h|e|r|m:o|c:o:u|p|l|e|	เ:ท:อ|ร|์|โ|ม|ค:ั|ป:เ:ป|ิ|ล|
t|h|e|r|m:o|c|o|u:p|l|e|	เ:ท:อ|ร|์|โ|ม|ค|ั|พ:เ:ป|ิ|ล|
t|h|e|r|m:o|g|r|a:m|	เ:ท:อ|ร|์|โ|ม|แ:ก|ร|ม|
t:h:e|r|m|o|g|r|a|p:h|	เ:ท|อ:ร:์|ม|อ|ก|ร|า|ฟ|
t|h|e|r|m:o|g|r|a|p:h|	เ:ท:อ|ร|์|โ|ม|ก|ร|า|ฟ|
t|h|e|r|m:o|g|r|a|p:h|	เ:ธ|อ|ร:์|โ|ม|ก|ร|า|ฟ|
t:h:e|r|m|o|g|r|a|p:h|y|	เ:ท|อ:ร:์|ม|อ|ก|ร|า|ฟ|ี|
t:h:e|r|m|o|m:e|t:e|r|	เ:ท|อ:ร:์|ม|อ|ม:ิ:เ|ต|อ:ร:์|
t|h|e|r|m|o:m:e|t:e|r|	เ:ท:อ|ร|์|โ|ม|ม:ิ|เ:ต:อ|ร:์|
t|h|e|r|m|o:n|u|c|l:e|a|r|	เ:ท:อ|ร|์|โ|ม|น|ิ:ว|เ:ค|ล|ี:ย|ร:์|
t:h:e|r|m|o|p:h:i|l|i|c|◊:b:a|c|t:e|r:i|a|	เ:ท|อ:ร:์|ม|อ|ฟ:ิ|ล|ิ|ก|แ:บ|ค|ท:ี:เ|ร|ี:ย|
t:h:e|r|m|o|p:h:o|n:e|	เ:ท|อ:ร:์|ม|อ|โ:ฟ|น|
t|h|e|r|m:o|p|i:l|e|	เ:ท:อ|ร|์|โ|ม|ไ:พ|ล|์|
t:h:e|r|m|o|p|l|a|s|t|i|c|	เ:ท|อ:ร:์|ม|อ|พ|ล|า|ส|ต|ิ|ก|
t|h|e|r|m:o|p|l|a|s|t|i|c|	เ:ท:อ|ร|์|โ|ม|พ|ล|า|ส|ต|ิ|ก|
t:h:e|r|m:o|s|e:t|t|i:n:g|	เ:ท|อ:ร:์|โ:ม:เ|ซ|ต|ต|ิ:ง|
t:h:e|r|m|o|s|p:h:e|r:e|	เ:ท|อ:ร:์|ม|อ|ส:เ|ฟ:ี|ย:ร:์|
t|h|e|r|m:o|s|p:h:e|r:e|	เ:ท:อ|ร|์|โ|ม|ส:เ|ฟ:ี|ย:ร:์|
t:h:e|r|m|o|s:t|a|t|	เ:ท|อ:ร:์|ม|อ|ส|แ|ต:ต|
t|h|e|r|m:o|s|t|a|t|	เ:ท:อ|ร|์|โ|ม|ส|ต|ั|ต|
t:h:e|r|m:o:s|t|a|t|	เ:ท|อ:ร:์|โ:ม|ส|แ|ต:ต|
t:h:e|r:o|n|	เ:ท|เ:ร:ิ|น|
t:h:e|r|o:u:x|	เ:ท|อ:ร|ู|
t:h:e|r|r|i:e|n|	แ:ท|ร:์|ร|ิ|น|
t:h:e|s|i|s|	ท:ี|ซ|ี|ส|
t:h:e|s|s|a|l|y|	เ:ท|ส|ซ|า|ล|ี|
t:h:e|t|a|	ท:ี|ต|า|
t:h|i:e|d:e|	ท|ิ|ด|
t:h|i:e|l|	ท|ิ|ล|
t:h|i:e|l:e|	ท|ิ|ล|
t:h|i:e|m:e|	ท|ิ|ม|
t:h:i|e|n|	เ:ท|ี:ย|น|
t:h|i|g|p:e|n|	ท|ิ|ก|เ:พ:ิ|น|
t:h|i|m|p:h:u|	ท|ิ|ม|พ:ู|
t:h|i|m|p:h|u|	ท|ิ|ม|ฟ|ู|
t:h|i|n|n:e|r|	ท|ิ|น|เ:น:อ|ร:์|
t:h:i|o|t:h|r|i|x|	ไ:ท|โ:อ|ท|ร|ิ|ก:ซ:์|
t:h:i|r|l|b:y|	เ:ท|ิ:ร:์|ล|บ:ี:้|
t:h:i|r:y|	ท:ี|ร:ี:่|
t:h:i|s:s|e|n|	ท:ี|ส|ั|้:น|
t:h:i|x:o:t|r:o|p|y|	ไ:ท|โ:ซ|โ:ท:ร|พ|ี|
t|h:o|d|	ท:ี:เ|อ:ส:โ|อ:ด:ี|
t:h:o|d:e|	โ:ท|ด|
t:h|o|m|	ท|อ|ม|
t:h:o|m:a|	โ:ท|ม:่:า|
t:h|o|m|a|s|	ท|อ|ม|ั|ส|
t:h:o|m|a|s|	โ:ท|ม|ั|ส|
t:h:o|m|a|s|	โ:ธ|ม|ั|ส|
t:h|o|m|a|s|◊|k:u|r|t:z|	ท|อ|ม|ั|ส|◊|เ:ค:ิ|ร:์|ต:ซ:์|
t:h|o|m|a|s|,|◊|d|y|l|a|n|	ท|อ|ม|ั|ส|,|◊|ด|ิ|ล|ั|น|
t:h|o|m|a|s|o:n|	ท|อ|เ:ม|อ:เ|ส|ิ:่:น|
t:h|o|m|a|s:s|o|n|	ท|อ|เ:ม|อ|ส|ั|น|
t:h|o|m:p|s|o|n|	ท|อ|ม:ป:์|ส|ั|น|
t:h|o|m|s|	ท|อ|ม|ส:์|
t:h|o|m|s|e:n|	ท|อ|ท|เ:ซ|ิ:่:น|
t:h|o|m|s|o|n|	ท|อ|ม|ส|ั|น|
t:h|o|m|s|o|n|,|◊:w:i|l|l|i|a:m|◊|(|l|o|r|d:◊|d|e:l|v|i|n|)|	ท|อ|ม|ส|ั|น|,:◊|ว:ิ|ล|เ:ล|ี:ย|ม|◊|(|ล|อ|ร:์|ด|เ:ด|ล|ว|ิ|น|)|
t:h|o|m|s|o|n|i:t|e|	ท|อ|ม|ซ|อ|ไ:น|ต|์|
t:h|o|n|	ท|อ|น|
t:h:o|n:e|	โ:ท|น|
t:h|o|r|	ท|อ|ร:์|
t|h:o:r|e|	ท|อ|ร:์|
t:h|o|r|e:a:u|	ท|อ|โ|ร|
t:h|o|r:i|a|n|i:t|e|	ท|อ:เ|ร|ี:ย|ไ:น|ต|์|
t|h:o:r|i|t|e|	ท|อ|ไ:ร|ต|์|
t:h|o|r:i|u:m|	ท|อ:เ|ร|ี:ย:ม|
t:h|o|r|l|e:y|	ท|อ|ร:์|ล|ี:ย:์|
t:h|o|r|n|b:e:r|r:y|	ท|อ|ร:์|น|แ:บ|ร:ี:่|
t:h|o|r|n|b:u|r|g|	ท|อ|ร:์|น|เ:บ:ิ|ร:์|ก|
t:h|o|r|n|b:u|r|g:h|	ท|อ|ร:์|น|เ:บ:ิ|ร:์|ก|
t:h|o|r|n|b:u|r:y|	ท|อ|ร:์:น|แ|บ|ร:ี:่|
t:h|o|r|n|d|i|k:e|	ท|อ|ร:์|น|ด|ิ|ก|
t:h|o|r|n:e|	ท|อ|ร:์|น|
t:h|o|r|n:e|r|	ท|อ|ร:์|เ:น:อ|ร:์|
t:h|o|r|n:h:i|l:l|	ท|อ|ร:์|ฮ:ิ|ล|
t:h|o|r|n|i|n:g|	ท|อ|ร:์|น|น|ิ:่:ง|
t:h|o|r|n|t|o:n|	ท|อ|ร:์|น|เ:ต:ิ|น|
t:h|o|r|n|v|i|l:l:e|	ท|อ|ร:์|น|ว|ิ|ล|
t|h|o:r:o|d|d:s:e|n|	เ:ท:อ|ร|อ|ด|เ:ซ|ิ:่:น|
t:h|o|r:o|l|d|	ท|อ|เ:ร:ิ|ล|ด:์|
t:h|o|r|p|	ท|อ|ร:์|ป|
t:h|o|r|p:e|	ท|อ|ร:์|ป|
t:h|o|r|s|	ท|อ|ร:์|ส|
t:h|o|r|s|e:n|	ท|อ|ร:์|เ:ซ|ิ:่:น|
t:h:o|r|s|t:e:i|n|	ธ|อ:ร:์|ส|ไ:ต|น:์|
t:h|o|r|t|o:n|	ท|อ|ร:์|เ:ต:ิ|น|
t:h:o|u|s|a|n|d|◊|i:s|l|a:n|d:◊|d|r|e:s|s|i:n:g|	เ:ท|า|ซ|ั|น|ด|์|ไ:อ:แ|ล|น|ด:์:เ|ด|ร|ส|ซ|ิ:ง|
t:h|r|a|l:l|	ท|ร|อ|ล|
t|h:r|a:s:h|	แ:ท|ร|ช|
t|h|r|a:s:h|e:r|	แ:ท|ร|เ|ช|อ:ร:์|
t:h|r:e:e|	ท|ร:ี|
t:h|r:e:e|t|	ท|ร:ี|ต|
t|h:r|e:l|k|e:l|d|	แ:ท|ร|ด:ล:์|เ:ค|ล|ด:์|
t|h:r:e|s:h:e|r|	เ:ท|ร|เ:ช|อ:ร:์|
t|h:r:e|s|h|o:l|d|	เ:ท|ร|ช:โ|ฮ|ล|ด:์|
t:h|r|i|f|t|	ท|ร|ิ|ฟ|ต:์|
t:h|r|i:n:g|	ท|ร|ิ:ง|
t|h|r|o:c:k|	เ|ท|ร|ิ:ก|
t:h|r|o|c:k|m|o|r|t|o:n|	ท|ร|อ|ก|ม|อ|ร:์|เ:ต|ิ:้:น|
t:h|r:o:o|p|	ท|ร:ู|๊:ป|
t:h|r:o|s|b:y|	เ:ท:เ|ร|ิ:ส|บ:ี:้|
t|h:r:o|w:e|r|	โ|ท:ร|เ:อ:อ|ร:์|
t:h|r|u|s:h|	ท|ร|ั|ช|
t:h|r|u|s|h|◊:n:i|g:h:t|i|n:g|a:l:e|	ท|ร|ั|ส|ช:์|ไ:น|ต|ิ|ง:เ:ก|ล|
t:h|r|u|s:t|o:n|	ท|ร|ั|ส:เ:ต|ิ:้:น|
t:h|u:i:l|l|i:e|r|	ท|ิ:ล|ล|ี:เ:อ|อ:ร:์|
t:h|u|l|i:t|e|	ท|ู|ไ:ล|ต|์|
t:h:u|m:b:◊|d|r|i:v:e|	ท:ั|ม|ไ:ด|ร|ฟ:์|
t:h|u:m:b|s|◊|u|p|	ท|ั:ม|ส|์|อ:ั|ป|
t:h:u|n|	ท:ั|น|
t:h:u|n|d:e|r|	ท:ั|น|เ:ด:อ|ร:์|
t:h:u|r|b|e|r|	เ:ท|อ:ร:์|เ|บ|อ:ร:์|
t:h:u|r|g:o:o|d|	เ:ท|อ:ร:์|ก:ู|๊:ด|
t:h:u|r|m:a|n|	เ:ท|อ:ร:์|เ:ม:ิ|น|
t:h:u|r|m:o|n:d|	เ:ท|อ:ร:์|เ:ม:ิ|น:ด:์|
t:h:u|r|n|	เ:ท|ิ:ร:์|น|
t:h|u|r:o:w|	ท|ู|โ:ร|
t:h:u|r|s|b:y|	เ:ท|ิ:ร:์|ส|บ:ี:้|
t:h:u|r|s:t|o:n|	เ:ท|ิ:ร:์|ส:เ:ต|ิ:้:น|
t:h|w:a:i|t:e|	ท|เ:ว|ต|
t:h|w:a:i|t:e|s|	ท|เ:ว|ต|ส:์|
t:h:y|e|	ไ:ท|ย:์|
t:h:y|m|e|	ไ:ท|ม|์|
t:h:y|r:a|	ไ:ท|ร:่:า|
t:h|y|r|o|i:d|	ธ|ั:ย|ร|อ|ย:ด:์|
t:h:y|r|o|i:d|	ไ:ท|ร|อ|ย:ด:์|
t:i:b|b|e:t:t|s|	ท:ี|บ|ิ:ต|ส:์|
t|i:b:e|r|i|u:s|	ท:ี|เ:บ|อ:ร|ี|อ:ิ:ส|
t|i|b|e|t|	ท|ิ|เ|บ|ต|
t:i|b:u|s|	ไ:ท:เ|บ|ิ:ส|
t|i|c|e|	ไ|ท|ซ|์|
t|i:c:e|h:u|r|s|t|	ไ:ท|ส:์|เ:ฮ:ิ|ร:์|ส|ต|
t|i|c:h:e|n:o|r|	ท|ิ|เ:ค|อ:เ:น|อ:ร:์|
t|i|c|k|	ต|ิ|๊|ก|
t|i|c:k|n:e|r|	ท|ิ|ก|เ:น:อ|ร:์|
t|i|c:k|n|o|r|	ท|ิ|ก|เ:น|อ|ร:์|
t|i|d:d|	ท|ิ|ด|
t|i:d|e|	ไ:ท|ด|์|
t|i|d:o|r:e|	ท|ิ|ด|อ:ร:์|
t|i|d|w:e:l|l|	ท|ิ|ด|เ:ว|ล|
t|i|d:y|	ไ|ท|ด:ี:้|
t:i:e|	ไ:ท|
t|i:e|d:e|m:a:n|n|	ท|ิ|ด|เ:ม|ิ:่:น|
t|i:e|f|	ท|ิ|ฟ|
t|i:e|r|n:a|n|	เ:ท|ี|ย:ร:์|เ:น:ิ|น|
t|i:e|r|n|e:y|	เ:ท|ี|ย:ร:์|น|ี:ย:์|
t|i:e:r|r|a:◊:h|e|l|a|d|a|	เ:ต|ี:ย|ร:์|ร:า|เ:อ|ล|า|ด|า|
t|i:e|r|r|a|◊:t:e|m|p|l|a|d|a|	เ:ต|ี|ย:ร:์|ร|า|เ:ต|ม|ป|ล|า|ด|า|
t|i|f:f|	ท|ิ|ฟ:ฟ:์|
t|i|f|f|a|n|y|	ท|ิ|ฟ|เ:ฟ|อ|น|ี|
t|i|f|f|i|n|	ท|ิ|ฟ|ฟ|ิ|น|
t|i|f|t|	ท|ิ|ฟ|ต:์|
t|i|g|	ท|ิ|ก|
t|i|g:h:e|	ไ|ท|ก:์|
t|i|k|k|a|l:a|	ท|ิ|ก|เ:ค|อ|ล:่:า|
t|i|l|d:e|n|	ท|ิ:ล|เ|ด|ิ:่:น|
t|i:l|e:y|	ไ:ท|ล|ี:ย:์|
t|i|l|g:h|m:a|n|	ท|ิ|ล|เ|ม|ิ:น|
t|i|l:l|	ท|ิ|ล:ล:์|
t|i|l|l|a|m|o:o:k|	ท|ิ|ล|ล|า|ม|ุ:ก|
t|i|l|l|e:t:t|	ท|ิ|ล|ล|ิ:ต|
t|i|l|l|e:y|	ท|ิ|ล|ล|ี:ย:์|
t|i|l|l|i|c:h|,|◊:p|a|u:l|	ท|ิ|ล|ล|ิ|ช|,:◊|พ|อ|ล|
t|i|l:l:i|e|	ท|ิ:ล|ล:ี|่|
t|i|l:l|i|n|g:h:a|s|t|	ท|ิ|ล|ิ|ง|แ:ฮ|ส|ต:์|
t|i|l|l|i:t|e|	ท|ิ:ล|ไ|ล|ต|์|
t|i|l:l|m:a|n|	ท|ิ|ล|เ:ม:ิ|น|
t|i|l|l:o|t|s:o|n|	ท|ิ|เ|ล|ิ:ต|เ:ซ:ิ|น|
t|i|l|l:y|	ท|ิ|ล|ล:ี:่|
t|i|l|m|a:n|	ท|ิ|ล|แ:ม|น|
t|i|l|n|e:y|	ท|ิ|ล|น|ี:ย:์|
t|i|l|o|s|	ต|ิ|ล|อ|ส|
t|i|l|s|l|e:y|	ท|ิ|ล|ส|ล|ี:ย:์|
t|i|l|s|o:n|	ท|ิ|ล|เ:ซ|ิ:่:น|
t|i|l|t|	ท|ิ|ล|ต:์|
t|i|l|t|	ท|ิ|ล|ท:์|
t|i|l|t|o:n|	ท|ิ|ล|เ:ต|ิ:้:น|
t|i|m|b|a|l|e|s|	ท|ิ|ม|บ|า|ล|ี|ส:์|
t|i|m|b:e|r|s|	ท|ิ|ม|เ:บ:ิ|ร:์|ส|
t|i:m|e|	ไ:ท|ม|์|
t|i|m:e:◊|t|r:i|a:l|	ไ|ท|ม:์|ไ:ท|ร|อ:ั:ล|
t|i|m|m|y|	ท|ิ|ม|ม|ี|
t|i|m|o|r|	ต|ิ|ม|อ|ร:์|
t|i|m:o:t|h|y|	ท|ิ|โ:ม|ท|ี|
t|i|m|u|r|	ต|ิ|ม|ู|ร:์|
t|i|n|	ท|ิ|น|
t|i:n|a|	ท:ี|น|า|
t|i|n|c|a|l|	ท|ิ|น|ค|ั|ล|
t|i|n:c|t:u|r|e|	ท|ิ|ง|เ:จ:อ|ร|์|
t|i|n|d|a:l|	ท|ิ|น|เ:ด|ล|
t|i|n|i|a:n|	ต|ิ|เ:น|ี:ย|น|
t|i|n|o|s|	ต|ิ|น|อ|ส|
t|i|n|t:o|r:e|t:t|o|,|◊:j:a|c|o|p:o|	ต|ิ|น|โ:ต:เ|ร|ต|โ:ต|,:◊|จ:า|โ:ก|โ|ป|
t|i|o|m|k|i:n|,:◊|d|m|i|t|r|i|	ต|ี|อ:อ|ม|ค|ิ|น:,:◊|ด|ม|ี|ต|ร|ี|
t|i|p|	ท|ิ|ป|
t|i|p|i|	ท|ี|ป|ี|
t|i|r|a|n|a|	ต|ิ|ร|า|น|า|
t|i|r|o|	ต|ิ|โ|ร|
t|i|s|s|o|t|	ท|ิ|ส|ส|อ|ต|
t|i|s|s:u:e|	ท|ิ|ช|ช:ู|
t|i|s|s:u:e|	ท|ิ|ส|ช:ู|
t|i|t|a|n|a|u|g|i|t|e|	ไ|ท|ท|ั|น|อ|อ|ไ|จ|ต|์|
t|i|t|a|n|i:t|e|	ไ|ท|ท|ะ|ไ:น|ต|์|
t|i|t|a|n:i|u|m|	ไ|ท|ท|า|เ:น:ี|ย|ม|
t:i|t|a|n|i|u|m|	ไ:ท:เ|ท|เ|น|ี|ย|ม|
t|i|t|i|a:n|	ท|ิ|เ:ช|ี:ย|น|
t:i|t|l:e|	ไ:ท:เ|ท:ิ|ล|
t|i|t:o|	ต|ิ:โ|ต|
t|i|t|r|a:n|t|	ไ|ท|แ:ท|ร|น|ต:์|
t|i|t|r|a:t:e|	ต|ิ|เ:ต|ร|ต|
t:i|t|r|a:t:e|	ไ:ท:เ|ท|ร|ต|
t:j:a|l|e|	เ:ช|เ|ล|
t|k|o|	ท:ี|เ:ค|โ:อ|
t|l|v|	ท:ี|แ:อ:ล|ว:ี|
t:o:a|d|s|t|o:o:l|s|	โ:ท|ด|ส|ต|ู:ล|ส:์|
t:o:a|s|t|	โ:ท|ส|ต:์|
t:o|b|a|g:o|	โ:ต:เ|บ|โ|ก|
t|o|d|	ท:ี|โ:อ|ด:ี|
t|o|d|a|y|	ท|ู|เ:ด|ย|์|
t:o|e:f|l|	โ:ท:เ|ฟ|ล|
t:o|e:f|l|	โ:ท:เ|ฟ|ิ:ล|
t:o:e|i|c|	โ:ท|อ:ิ|ก|
t|o|f|f:e|	ท|อ|ฟ|ฟ:ี:่|
t|o|f|f:e|e|	ท|อ|ฟ|ฟ|ี:่|
t|o|f|f|y|	ท|อ|ฟ|ฟ|ี:่|
t|o:f|u|	โ:ต|ฟ|ุ|
t|o:g:o|	โ:ต|โ:ก|
t|o|i|l|e:t|	ท|อ|ย|เ:ล|ต|
t:o|k|e:l:a|u|	โ:ต:เ|ก|เ:ล|า|
t:o|k|e|n|	โ:ท:เ|ค|็|น|
t:o|k|y:o|	โ:ต:เ|ก|ี:ย:ว|
t|o|l|k|i:e|n|	ท|อ|ล|ค|ี|น|
t:o:l|l|◊:w:a|y|	โ:ท|ล|เ:ว|ย:์|
t|o|l|s|t|o|y|,:◊|l:e|o|	ต|อ|ล|ส|ต|อ|ย|,:◊:เ|ล|โ:อ|
t|o:l|u|i|d|i:n:e|	โ:ท|ล|ู|อ:ิ|ด|ี:น|
t|o|m|	ท|อ|ม|
t|o:m:a|h|a:w|k|	โ:ท|ม:า|ฮ|อ:ว:์|ก|
t|o:m:a|s|	โ:ต|ม:า|ส|
t:o|m|a|t:o|	โ:ท:เ|ม|โ|ต|
t|o|m|b|o|y|	ท|อ|ม|บ|อ|ย|
t|o|m|m|y|	ท|อ|ม|ม|ี|
t|o:m:o|g|r|a|p:h|	โ:ท|โ:ม|ก|ร|า|ฟ|
t|o|n|b|r|i|d|g|e|	ต|อ|น|บ|ร|ิ|ด|จ|์|
t|o:n:e|	โ:ท|น|
t:o|n:e|r|	โ:ท:น|เ:น:อ|ร:์|
t:o|n:e|r|	โ:ท:เ|น|อ:ร:์|
t|o|n|g|a|	ต|อ|ง|ก|า|
t|o:n|i|	โ:ท|น|ี|
t|o|n|i|c|	ท|อ|น|ิ|ก|
t:o|n:i|c|	โ:ท:น|ิ|ก|
t:o:n|n:e|	ต:ั|น|
t|o|n|s|i|l|	ท|อ|น|ซ|ิ|ล|
t|o:o:l|b|a|r|	ท|ู:ล|บ|า|ร:์|
t|o|p|	ท|อ|ป|
t|o:p|	ท|็:อ:ป|
t|o|p:◊:b|o:o:t|	ท|อ|ป:บ|ู:ต|
t:o|p:◊:b|o:o:t|	ท:็:อ|ป:บ|ู:ต|
t|o:p|◊:h:a|t|	ท|็:อ:ป|แ:ฮ|ต|
t|o|p|◊:s:e|c|r:e|t|	ท|อ|ป|ซ:ี|เ:ค|ร|ต|
t|o|p|◊:s:e|c|r|e|t|	ท|อ|ป|ซ:ี|เ:ค|ร|็|ต|
t|o:p|◊:s:e|c|r:e|t|	ท|็:อ:ป|ซ:ี|เ:ค|ร|ต|
t|o|p:-:b|o:o:t|	ท|อ|ป:บ|ู:ต|
t|o:p:e|k|a|	โ:ต|ป|ิ:ก|า|
t:o|p|i|c|	ท:อ:ป|ป|ิ|ก|
t|o:p|l|e|s:s|	ท|็:อ:ป|เ|ล|ส|
t|o|p|o|l|o:g:i|c:a:l|	ท|อ|พ|อ|โ|ล|ย:ี|
t|o|p|o|l:o:g|y|	ท|อ|พ|อ|โ:ล|ย:ี|
t|o|p|p|i:n:g|	ท|อ|ป|ป|ิ:ง|
t|o|p|s|p|i|n|	ท|อ|ป|ส|ป|ิ|น|
t|o|r|b|e|r|n|i:t|e|	ท|อ|ร:์|เ|บ|อ:ร:์|ไ:น|ต|์|
t|o|r|n|a:d:o|	ท|อ|ร:์|น:า|โ:ด|
t|o|r|n|a:d:o|	ท|อ|ร:์|เ:น|โ:ด|
t|o|r|p:e|d:o|	ต|อ|ร:์|ป|ิ:โ:ด|
t|o|r|q:u:e|	ท|อ|ร:์|ก|
t|o|r|r|i|d:o|n|i|a:n|	ท|อ|ร:์|ร|ิ|โ:ด:เ|น|ี:ย|น|
t|o|r|s:i:o|n|	ท|อ|ร:์|ช:ั|น|
t|o|r|u|s|	ท|อ|ร|ั|ส|
t|o|r|y|	ท|อ|ร|ี|
t:o|t:e|m|	โ:ท:เ|ท|ม|
t|o|t|i|e:n|t|	ท|อ|เ:ท|ี:ย|น|ต:์|
t|o|t|t|e:l|	ท|อ|ต|เ:ท|ล|
t:o|u|p:e|e|	ท|ู:เ|ป|้|
t|o|u|r|	ท|ั|ว|ร:์|
t:o|u:r|m|a|l|i|n:e|	ท|ั:ว:ร|์:ม|า|ล|ิ|น|
t:o|u:r|m|a|l|i:n:e|	ท|ั:ว:ร|์:ม|า|ล|ี:น|
t:o|u:r|n|a|m|e:n|t|	ท|ั:ว:ร|์:น|า|เ:ม|น|ต:์|
t:o:u|r|n:e:u|r|	เ:ท|อ:ร:์|เ:น|อ:ร:์|
t|o:w|e|r|	เ:ท|า:ว:์|เ:อ|อ:ร:์|
t|o|w|n|	ท|า|ว|น:์|
t|o:w|n|	เ:ท|า|น:์|
t|o|w|n|◊|h:o|u:s:e|	ท|า|ว|น|์|เ:ฮ:า|ส:์|
t|o|w|n|h:o|u:s:e|	ท|า|ว|น:์|เ:ฮ:า|ส:์|
t|o|w|n|s:h:e|a:d|	ท|า|ว|น:์|เ:ช|น:ด:์|
t|o|w|n|s:h|i|p|	ท|า|ว|น:์|ช|ิ|ป|
t|o|x:a|p:h:e|n:e|	ท|อ|ก:ซ:า|ฟ:ี|น|
t:o|x:i|n|	ท:็:อ|ก:ซ:ิ|น|
t|o|x|o|i:d|	ท|อ|ก:ซ|อ|ย:ด:์|
t|o|y:n|b|e:e|	ท|อ|ย:น:์|บ|ี|
t|o|y:n|b|e|e:,:◊|a|r|n:o|l|d|	ท|อ|ย:น:์|บ:ี|ม|,:◊|อ:า|ร:์:โ|น|ล|ด:์|
t|r:a|c:e|	เ:ท|ร|ซ|
t|r:a|c:e|r|	เ:ท|ร|เ:ซ:อ|ร:์|
t|r:a|c:e|y|	เ:ท|ร|ซ|ี:ย:์|
t|r:a|c:h:e|i:d|	เ:ท|ร|ค:ี|ด|
t|r:a|c:h|y|	แ:ท|ร|ค|ี|
t|r|a:c:h|y:t:e|	แ:ท|ร|ไ:ค|ต:์|
t|r:a|c|t|	แ:ท|ร|ก|ต:์|
t|r:a|c|t|o|r|	แ:ท|ร|ก|เ:ต|อ|ร:์|
t|r|a|c|t|o|r|	แ:ท|ร|็|ก|เ:ต|อ|ร:์|
t|r:a|c|y|	เ:ท|ร|ซ|ี|
t|r:a|d:e|◊:m:a|r|k|	เ:ท|ร|ด|ม:า|ร:์|ก|
t|r:a|d|i:n:g|	เ:ท|ร|ด:ด|ิ:ง|
t|r:a|g|e:d|y|	แ:ท|ร|เ:จ|ด|ี|
t|r|a|h:e|r|n:e|	ท|ร|า|เ:ฮ:ิ|ร:์|น|
t|r:a:i|l:e|r|	เ:ท|ร|ล:เ:ล|อ:ร:์|
t|r:a:i|n:e|r|	เ:ท|ร|น:เ:น|อ:ร:์|
t|r:a:i|n|i:n:g|	เ:ท|ร|น:น|ิ:ง|
t|r|a|m|o|n|t|a|n|a|	ท|ร|า|ม|อ|น|ต|า|น|า|
t|r|a|n|s|c|r|i|p|t|	ท|ร|า|น|ส|ค|ร|ิ|ป|ต:์|
t|r|a:n|s|d:u|c:e|r|	แ:ท|ร|น|ส:์|ด:ิ:ว|เ:ซ:อ|ร:์|
t|r|a|n|s|i|t|	ท|ร|า|น|ซ|ิ|ต|
t|r|a:n|s|i|t:i:o|n|	แ:ท|ร|น|ซ|ิ|ช:ั|น|
t|r|a|n|s|k:e:i|	ท|ร|า|น|ส|ไ:ก|
t|r|a|n|s|l|a:t:e|	ท|ร|า|น|ส|เ:ล|ต|
t|r|a|n|s|p|o|r|t|	ท|ร|า|น|ส|ป|อ|ร:์|ต|
t|r|a|n|s|v|a|a:l|	ท|ร|า|น|ส|ว|า|ล|
t|r|a|p:e|z|i|u:s|	ท|ร|า|พ:ี:เ|ซ|ี:ย|ส|
t|r|a:v:e|l|	แ:ท|ร|เ:ว|ล|
t|r:a|v:e|r|s|	แ:ท|ร|เ:ว:ิ|ร:์|ส|
t|r|a|v:e|r|t|i:n:e|	ท|ร|า|เ:ว:อ|ร:์|ท|ี:น|
t|r|a:v:e|r|t|i:n:e|	แ:ท|ร|เ:ว|อ:ร:์|ท|ี:น|
t|r:a|v|i|s|,|◊:m:a|r:i:e|	เ:ท|ร|ว|ิ|ส|,:◊|ม:า|ร:ี|
t|r:e:a|t|m|e:n|t|	ท|ร:ี|ต|เ:ม|น|ต:์|
t|r:e|m:e|n|	ท|ร:ี:เ|ม|น|
t|r|e:m:o|l|i:t|e|	เ:ท|ร|โ:ม|ไ:ล|ต|์|
t|r|e:n|d|	เ:ท|ร|น|ด:์|
t|r|e:n|t|o|n|	เ:ต|ร|น|ต|ั|น|
t|r|e|p:a|n:g|	ท|ร:ิ|แ|พ|ง|
t|r:e|v|i:n|o|,|◊:l|e:e|	เ:ท|ร|ว|ิ|โ:น|,:◊|ล|ี|
t|r:e|v:o|r|	เ:ท|ร|เ:ว:อ|ร:์|
t|r:i|a|d|	ไ:ท|ร|แ:อ|ด|
t|r:i|a|s|s|i|c|	ไ:ท|ร|แ:อ|ส|ซ|ิ|ก|
t|r:i|a|s|s|i|c|	ไ:ท|ร|แ:อ|ส|ส|ิ|ก|
t|r|i|c|i|a|	ท|ร|ิ|เ:ช|ี|ย|
t|r|i|c:k|	ท|ร|ิ|ก|
t|r|i|c:k:◊|o|r:◊|t|r:e:a|t|	ท|ร|ิ|ก|อ|อ:ร:์|ท|ร:ี|ต|
t|r:i|c|l|i|n|i|c|	ไ:ท|ร|ค|ล|ิ|น|ิ|ก|
t|r|i:e|	ท|ร:ั|ย|
t|r|i|g|g:e|r|f|i|s:h|	ท|ร|ิ|ก|เ:ก:อ|ร:์|ฟ|ิ|ช|
t|r:i|h|a|l|o|m:e|t:h:a|n:e:s|	ไ:ท|ร|ฮ|า|โ|ล|ม:ี:เ|ท|น|
t|r|i|n|i|d|a:d|	ต|ร|ิ|น|ิ|แ:ด|ด|
t|r|i|n|i|d|a:d:◊|a|n:d|◊:t:o|b|a|g:o|	ต|ร|ิ|น|ิ|แ:ด|ด|แ:อ|น:ด:์|โ:ต|เ:บ|โ|ก|
