h|e|t|f|i|e:l|d|	ה|י|ט|פ|י|ל|ד|
s|a|n|d|r|a|	ס|א|נ|ד|ר|א|
s|i|l|k|w:o|o|d|	ס|י|ל|ק|ו|ו|ד|
c|l|e|a:n|t:h|	ק|ל|י|נ|ת|
f|o|g:h|	פ|ו|ג|
g|o|g:h|	ג|ו|ג|
o|l|i|v|e|r|o|	א:ו|ל|י|ב|י|ר|ו|
l|i|p|o|m|a|	ל|י|פ|ו|מ|א|
c|a|r|l|a|	ק|א|ר|ל|א|
l|o|r|d|a|n|	ל|ו|ר|ד|א|ן|
z:e|v|i|	צ|ב|י|
b|o:u|t|a:h|a|r|	ב|ו|ט|ה|א|ר|
l|u|c|i:l|l:e|	ל|ו|ס|י|ל|
p|i|e|r|a|n|g|e:l|o|	פ|י|י|ר|א|נ|ג|ל|ו|
n|a|b|i:h|	נ|א|ב|י|
c|y|n|d|i|	ס|י|נ|ד|י|
b|u|e|n|o|s|	ב|ו|י|נ|ו|ס|
t:s|e|p|o|	צ|י|פ|ו|
m|a|r|i|u|p|o|l|	מ|א|ר|י|ו|פ|ו|ל|
l|e|v|i|	ל|י|ו|א:י|
r|o|d|r|i|g:u|e|z|	ר|ו|ד|ר|י|ג|י|ז|
c|u|s|t|e:r|s|	ק|ו|ס|ט|ר|ס|
f|e:n|e:l|o|n|	פ|נ|ל|ו|ן|
a|z|i|l|a|l|	א|ז|י|ל|א|ל|
b|r|o|c|i|c|	ב|ר|ו|ש|י|ט:ש|
t|a|u|t|	ט|א|ו|ט|
k|o|i|z|u|m|i|	ק|ו|י|ז|ו|מ|י|
d|o|m|i|n|i:q|u:e|	ד|ו|מ|י|נ|י|ק|
s:c|h:w|a|r|z:e|r|	ש|ו|א|ר|צ|ר|
d|a|c|o:u|r|t|	ד|א|ק|ו|ר|ט|
b|a|r|t|o|l|u:c|c|i|	ב|א|ר|ט|ו|ל|ו|צ:'|י|
y|a|s:s|i|n:e|	י|א|ס|י|ן|
r|o:o|l|	ר|ו|ל|
p|a|l|a|c|i|o|	פ|א|ל|א|ס|י|ו|
n:e|t|a:f|i|m|	נ|ט|פ|י|ם|
w:e|x|l|e:r|	ו|ק:ס|ל|ר|
b|a|z:z|a|n|i|	ב|א|ז|א|נ|י|
j|a|n|k|o|v|i|c|	י|א|נ|ק|ו|ב|י|ט:ש|
b|e:r|n|a|y|s|	ב|ר|נ|י|י|ז|
h|u|r|t|	ה|ו|ר|ט|
t:h|e|o|d|o|r|a|	ת|י|ו|ד|ו|ר|א|
k|a|r|l|s:s|o|n|	ק|א|ר|ל|ס|ו|ן|
c|a|n|t|e:r|b:u|r|y|	ק|א|נ|ט|ר|ב|ר|י|
b|s:h|a|r:r|i|	ב|ש|א|ר|י|
s:c|h:m|i|t:t|	ש|מ|י|ט|
b|u|r|t|	ב|ו|ר|ט|
w|e|a:v|i|n|g|	ו|י|ב|י|נ|ג|
m|i|l|v|a|	מ|י|ל|ב|א|
t|a|r|l|e|v|	ט|א|ר|ל|י|ב|
m|c|i|n|d|o:e|	מ:א|ק|י|נ|ד|ו|
g|r|a|s:s|i|	ג|ר|א|ס|י|
s:c|h:e|r|b|i|u|s|	ש|י|ר|ב|י|ו|ס|
k|a|t|a|y|a|m|a|	ק|א|ט|א|י|א|מ|א|
l|i|p|m|a|n:n|	ל|י|פ|מ|א|ן|
k|o|l|o|m|a|n|	ק|ו|ל|ו|מ|א|ן|
i|k|e|b|a|n|a|	א:י|ק|י|ב|א|נ|א|
f|u|k|u|d|a|	פ|ו|ק|ו|ד|א|
m|i|c:h|e:l|	מ|י|ש|ל|
s:h|u|l|a:m|i|t|	ש|ו|ל|מ|י|ת|
z|h:e|k|o|v|	ז|'|ק|ו|ב|
m|i|c:h|a|l|	מ|י|ק|א|ל|
c|h:i|l:e|m|b|e|	צ:'|י|ל|מ|ב|י|
l|a:h|z|a|m|i|	ל|ח|ז|א|מ|י|
s:h|l:o|m|o|	ש|ל|מ|ה|
r|e|n|q|u|i|n|	ר|י|נ|ק|ו|י|ן|
l|u|m|b|i|n|i|	ל|ו|מ|ב|י|נ|י|
n|a|t|h:a|l|i:e|	נ|א|ט|א|ל|י|
i|n|c|a|	א:י|נ|ק|א|
b:a|r:a|c:k|	ב|ר|ק|
k|a|t|s|u|k|i|	ק|א|ט|ס|ו|ק|י|
y|a|n:n|	י|א|ן|
m:i|c:h|e:l|l:e|	מ|י|ש|ל|
d|o|l|m|a|n|s|	ד|ו|ל|מ|א|נ|ז|
d|i|e|g|o|	ד|י|י|ג|ו|
u|r|a|n|u|s|	א:ו|ר|א|נ|ו|ס|
n|a|t:t|a|p|o|r|n|	נ|א|ט|א|פ|ו|ר|ן|
t:h|a|c|i|	ת|א|צ:'|י|
l|a|r|s|	ל|א|ר|ס|
m|a|r|a|n|h|a|o|	מ|א|ר|א|נ|ה|א|ו|
b|n:e|i|	ב|נ|י|
c|o|n|c:h|i|t|a|	ק|ו|נ|ש|י|ט|א|
j|o|r|v|a|n|	ג:'|ו|ר|ב|א|ן|
p|o|c|h:e|t:t|i|n|o|	פ|ו|ט:ש|י|ט|י|נ|ו|
s|o|p:h|u|s|	ס|ו|פ|ו|ס|
b|a|r|d|s|l:e|y|	ב|א|ר|ד|ס|ל|י|
m|a|c|i|a|s|	מ|א|ס|י|א|ס|
k|a|k|l|a|m|a|n|a|k|i|s|	ק|א|ק|ל|א|מ|א|נ|א|ק|י|ס|
s|e|b|a|s|t|i|a|n|	ס|י|ב|א|ס|ט|י|א|ן|
r|i|s|k|i|n|	ר|י|ס|ק|י|ן|
d|a:h|a|n|	ד|ה|א|ן|
p|e|c:k|	פ|י|ק|
d|i|c:h|t|e:r|	ד|י|כ|ט|ר|
s|p|a|r|t|a|	ס|פ|א|ר|ט|א|
r|i|m|b:a|u:d|	ר|י|מ|ב|ו|
s|r|i|c:h|a|p:h|a|n|	ס|ר|א:י|ש|א|פ|א|ן|
m:e|h|m:e|d|	מ|ח|מ|ד|
s|i|f|i|	ס|י|פ|י|
b|r|o|d|i:e|	ב|ר|ו|ד|י|
b|r|a|g|a|	ב|ר|א|ג|א|
b|a|r|i|s|o|n|	ב|א|ר|י|ס|ו|ן|
y|o|s|e:f|	י|ו|ס|ף|
k:e|e|s|	ק|י|ז|
z|a|c|	ז|א|ק|
f|i|f|i|	פ|י|פ|י|
w|i|s|n|i:e|s|k|i|	ו|י|ס|נ|י|ס|ק|י|
s:h|o|m|u|	ש|ו|מ|ו|
h|i|r:s|c:h|	ה|י|ר|ש|
z|o|l|t|a|n|	ז|ו|ל|ט|א|ן|
c|o:u|p|e|r|i|n|	ק|ו|פ|י|ר|י|ן|
c|o|l|o|m|b|i|a|	ק|ו|ל|ו|מ|ב|י|א|
m|a|c|	מ|א|ק|
c|a|l|d|e|r|o|n|	ק|א|ל|ד|י|ר|ו|ן|
h|a|u|s|d|o|r|f:f|	ה|א|ו|ס|ד|ו|ר|ף|
m|a|s|i|l|e|l|a|	מ|א|ס|י|ל|י|ל|א|
m|p|e|n|z|a|	מ|פ|י|נ|ז|א|
g|u:i|l:l|a:u|m:e|	ג|ו|י|א|ם|
f|r|e|d|e|r|i|k|	פ|ר|י|ד|י|ר|י|ק|
a|d|r|i|a|t|i|c|	א|ד|ר|י|א|ט|י|ק|
m|i|r|n|y:i|	מ|י|ר|נ|י|
h|e|i|n|z:e|	ה|א|י|נ|ז|
g|r|e|e:n|	ג|ר|י|ן|
i|a|q|u|i|n|t|a|	א:י|א|ק|ו|י|נ|ט|א|
q|u|a|s:h|i:e|	ק|ו|א|ש|י|
j|o|s:e|p:h|i|n:e|	ג:'|ו|ז|פ|י|ן|
s|a|n|c:h|e|z|	ס|א|נ|ש|י|ז|
g|l|y|c|i|n:e|	ג|ל|י|ס|י|ן|
s|a|n:a|e|	ס|א|נ|י:י|
a|p|o|c|a|l|y|p|t|i|c|a|	א|פ|ו|ק|א|ל|י|פ|ט|י|ק|א|
k|a|n|d|i|a|	ק|א|נ|ד|י|א|
s:h|a:u|n|	ש|ו|ן|
l|u|k|a|s|	ל|ו|ק|א|ס|
h:e|l|s|i|n|k|i|	ה|ל|ס|י|נ|ק|י|
s|e|k|o|	ס|י|ק|ו|
t|e|k|o|	ט|י|ק|ו|
o|l|d|	א:ו|ל|ד|
i|s|k|i|t|i|m|	א:י|ס|ק|י|ט|י|ם|
b|o|r|d|o|n|	ב|ו|ר|ד|ו|ן|
r:e|h|e|m|a|	ר|ח|י|מ|ה|
b|o|r|d|i|n|	ב|ו|ר|ד|י|ן|
l|e|k|o|	ל|י|ק|ו|
y|a|r|d|	י|א|ר|ד|
s:c|h:a|m|i|	ש|א|מ|י|
s:c|h:e|v|e|n|i|n|g|e:n|	ש|י|ב|י|נ|י|נ|ג|ן|
m|i|s:c|h:a|	מ|י|ש|א|
g|o:o|g|o:o|s:h|	ג|ו|ג|ו|ש|
d:e|b:b|i:e|	ד|ב|י|
h|a|r|v|e:y|	ה|א|ר|ב|י|
k|h:i|z|a|n|i|s:h|v|i|l|i|	ק|י|ז|א|נ|י|ש|ב|י|ל|י|
w|a:r|d|	ו:ו|ר|ד|
h|a|r|d|	ה|א|ר|ד|
s|m|i|l|j|a|n|i|c|	ס|מ|י|ל|י|א|נ|י|ט:ש|
s:h|a:w|q:a|t|	ש|ו|ק|ט|
a|l|m:e|y|d|a|	א|ל|מ|י|ד|א|
m|c|s|t|a|y|	מ|ק|ס|ט|י|י|
c|u|r|t|i|n|	ק|ו|ר|ט|י|ן|
t|r|n|a|v|a|	ט|ר|נ|א|ב|א|
s|w|a|g:g|a|r|t|	ס|ו|א|ג|א|ר|ט|
t|c:h|o|m|o|g|o|	ט|ש|ו|מ|ו|ג|ו|
k|o|e:v|e:r|m|a|n|s|	ק|ו|ב|ר|מ|א|נ|ס|
t|e|d:d|	ט|י|ד|
s:h|a|w|k|a|t|	ש|א|ו|ק|א|ט|
q|u|e|e:n|y|	ק|ו|י|נ|י|
v|i|c:e|n|t|e|	ו|י|ס|נ|ט|ה|
f:a|r|a|h|a|n|i|	פ|ר|א|ה|א|נ|י|
e|m:m|a:n|u|e|l|	ע|מ|נ|ו|א|ל|
h|a|n|z|o|	ה|א|נ|ז|ו|
v:e|i|i|	ו|י|י|
m:a|h|r|o:u|s|	מ|ח|ר|ו|ס|
b|u|r|t|o:n|	ב|ו|ר|ט|ן|
b:i|m|k|o|m|	ב|מ|ק|ו|ם|
d|a|n|i|e|l|s|e:n|	ד|א|נ|י|י|ל|ס|ן|
h|i|y:a|m|a|	ה|י|א|מ|א|
a|a:r|o|n|s|o:h|n|	א|ר|ו|נ|ס|ו|ן|
v|a|r|a|l:l|o|	ו|א|ר|א|י|ו|
m:e|h|r|d|a|d|	מ|ה|ר|ד|א|ד|
c|l|i|n|t|o|n|	ק|ל|י|נ|ט|ו|ן|
g|o|r|d|o|n|	ג|ו|ר|ד|ו|ן|
r|u|i|t|e:r|	ר|ו|י|ט|ר|
c|a|i|r|o|	ק|א|י|ר|ו|
r:e|m|y|	ר|מ|י|
a|s:h|d|o:w|n|	א|ש|ד:א|ו|ן|
s|a|v|o|	ס|א|ב|ו|
g|o|n|z|a|l:e|z|	ג|ו|נ|ז|א|ל|ז|
b|e:r|g:g|r|e|e:n|	ב|ר|ג|ר|י|ן|
l|a|t|i|m|e:r|	ל|א|ט|י|מ|ר|
p|f|i|s|t|e:r|	פ|פ|י|ס|ט|ר|
v|a|c|l|a|v|	ו|א|צ|ל|א|ב|
h|u|t|c:h|i|n|s|o|n|	ה|ו|ט|ש|י|נ|ס|ו|ן|
t:h|e|e:r|a|w|e:s|i|n|	ת|י|ר|א|ו:ו|ס|י|ן|
f|l|o|r|e|n|t|	פ|ל|ו|ר|י|נ|ט|
m|n|g|o|m|e|n|i|	מ|נ|ג|ו|מ|י|נ|י|
t|u|d|y|k|	ט|ו|ד|י|ק|
t:h|e|s|i|g|e:r|	ת|י|ס|י|ג|ר|
g|i|a:g|n|o|n|i|	ג|'|א|נ:י|ו|נ|י|
p|r|o|k|o|p|	פ|ר|ו|ק|ו|פ|
b:a|r|n|a|r:d|	ב|ר|נ|א|ר|
y:a|z|i|d|	י|ז|י|ד|
k|h:u|m|a|l|o|	ק|ו|מ|א|ל|ו|
m|u|l|i|l|o|	מ|ו|ל|י|ל|ו|
b|o:u|t|r|o|s|	ב|ו|ט|ר|ו|ס|
m|o|l|i|n|a|	מ|ו|ל|י|נ|א|
m|i|y:a|t|a|	מ|י|א|ט|א|
g|a|e:l|	ג|י:י|ל|
f|e|r:r|e|i|r|a|	פ|י|ר|י|י|ר|א|
s|t|e|f:f|e:n|	ס|ט|י|פ|ן|
s|y|l|v|a|i:n|	ס|י|ל|ב|י:י|ן|
b|u|r|u|n|d|i|	ב|ו|ר|ו|נ|ד|י|
p|i:n|h:a|s|	פ|נ|ח|ס|
p|r|u:s|s:i|a|	פ|ר|א|ש|א|
p:h|n|o|m|	פ|נ|ו|ם|
r|a|g:h|e:b|	ר|א|ג|ב|
d|i|d|e:r|o:t|	ד|י|ד|ר|ו|
m|e|r|c|u|r|y|	מ|י|ר|ק|ו|ר|י|
l|o|l|i|t|a|	ל|ו|ל|י|ט|א|
b|u|c:h|n|e:r|	ב|ו|כ|נ|ר|
a|m|e|d|e|o|	א|מ|י|ד|י|ו|
m:a|n|a|f|	מ|נ|א|ף|
t|a|k|e|s:h|i|	ט|א|ק|י|ש|י|
b|e:r|c|e:l|l:i|n|o|	ב|ר|צ:'|ל|י|נ|ו|
h:a|a|n|	ה|א|ן|
r|u|m|s|f|e|l|d|	ר|א|מ|ס|פ|י|ל|ד|
b|a|l:l|i|s|t|i|c|	ב|א|ל|י|ס|ט|י|ק|
k|i|r|s|t|e:n|	ק|י|ר|ס|ט|ן|
n:a|a|n|	נ|א|ן|
l|i|t:t|l:e|	ל|י|ט|ל|
b:e|h|r|a|m|i|	ב|ה|ר|א|מ|י|
m|a|k|o|n:n|e|n|	מ|א|ק|ו|נ|י|ן|
m|a|r|x|	מ|א|ר|ק:ס|
c|a|a:n|	ק|א|ן|
s:c|h:u|s|t|e:r|	ש|ו|ס|ט|ר|
e|m|d:e|n|	א|מ|ד|ן|
b|l|a|c:k|s|t|o|n:e|	ב|ל|א|ק|ס|ט|ו|ן|
k|i|r|i|c|h:e|n|k|o|	ק|י|ר|י|צ|'|נ|ק|ו|
a|p|o|l:l|i|n|a|r|i|s|	א|פ|ו|ל|י|נ|א|ר|י|ס|
h:e|m|d|a|n|	ח|מ|ד|א|ן|
s|t|o|l|t:e|n|b|e:r|g|	ס|ט|ו|ל|ט|נ|ב|ר|ג|
b|u|t|l|e:r|	ב|א|ט|ל|ר|
t|a|d|i|r|a|n|	ט|א|ד|י|ר|א|ן|
l|a|t|v|i|a|	ל|א|ט|ב|י|א|
p|o|s|e:y|	פ|ו|ז|י|
s|r|i|n|a|g|a|r|	ס|ר|י|נ|א|ג|א|ר|
h:a|w|a|t|m:e|h|	ח|ו:ו|א|ט|מ|ה|
f|r|o|s|t|	פ|ר|ו|ס|ט|
v|l|a|s|i|c|	ו|ל|א|ס|י|ט:ש|
n|o|z|o|m|u|	נ|ו|ז|ו|מ|ו|
a|n|i|	א|נ|י|
n|i|a|l:l|	נ|י|א|ל|
b|r|u|n|e|i|	ב|ר|ו|נ|י|י|
s|t|e|n|d|a|r|d|o|	ס|ט|י|נ|ד|א|ר|ד|ו|
a|s:h|k:e|n:a|z|i|	א|ש|כ|נ|ז|י|
z|a|n|e|t:t|i|	ז|א|נ|י|ט|י|
k|f|o:u|r|y|	ק|פ|ו|ר|י|
h|o|r|n|a|	ה|ו|ר|נ|א|
j|o|s|p|i|n|	ג:'|ו|ס|פ|א|ן|
h|o|r|n:e|	ה|ו|ר|ן|
c|u|m|i|n|	ק|י:ו|מ|י|ן|
f|l|o|r|i|n|	פ|ל|ו|ר|י|ן|
m|o|h:a|m:m|e:d|	מ|ו|ח|מ|ד|
l|e|p|t|i|n|	ל|י|פ|ט|י|ן|
n|a|z|i|k|	נ|א|ז|י|ק|
k|i|d|o|	ק|י|ד|ו|
k|o|g|y|o|k|u|	ק|ו|ג|י|ו|ק|ו|
h|i|d:d|i|n|k|	ה|י|ד|י|נ|ק|
c|o:u|t|o|	ק|ו|ט|ו|
j|a:a|p|	ג:'|א|פ|
p|o|n|t|e|s|	פ|ו|נ|ט|י|ס|
s|t|o|k|e:r|	ס|ט|ו|ק|ר|
w:e|n|d:e|e|	ו|נ|ד|י|
w|i|e:r|t:z|	ו|י|ר|ץ|
b|u|i|n|s|k|	ב|ו|י|נ|ס|ק|
s|l|o|v|a|k|i|a|	ס|ל|ו|ב|א|ק|י|א|
p|a|r|a|m|o|r|	פ|א|ר|א|מ|ו|ר|
e|v|a|n|s|	א:י|ב|א|נ|ז|
p|e|l:l|e|	פ|י|ל|י|
k|o:l|k:a|t|a|	ק|ל|ק|ט|א|
r|o|t:h|l|i|s|b|e|r|g|e:r|	ר|ו|ת|ל|י|ס|ב|י|ר|ג|ר|
p|e|l:l|i|	פ|י|ל|י|
s|i|b|u|s|i|s|o|	ס|י|ב|ו|ס|י|ס|ו|
d|a|g:e|s|t|a|n|	ד|א|ג|ס|ט|א|ן|
d|r|a|g|n|e|a|	ד|ר|א|ג|נ|י|א|
s:h|i|b|a|t|a|	ש|י|ב|א|ט|א|
l|y|o|n|	ל|י|ו|ן|
p|a|z|d|a|n|	פ|א|ז|ד|א|ן|
q|a|r|u|h|	ק|א|ר|ו|ה|
v|i|t|a|l|i:y|	ו|י|ט|א|ל|י|
m|c|q|u|e|e:n|	מ:א|ק|ק|ו|י|ן|
a|j|a|x|	א:י|ג:'|א|ק:ס|
z|u:c|k|e:r|	ז|א|ק|ר|
g|r|u|n|b|e|i|n|	ג|ר|ו|נ|ב|י|י|ן|
m|u|h|a|r:r|a:m|	מ|ו|ח|א|ר|ם|
i|v|e:r|s|o|n|	א:י|ב|ר|ס|ו|ן|
h|e|r|a|c|l|i|t|u:s|	ה|י|ר|א|ק|ל|י|ט|ס|
t|r|y|g|v|e|	ט|ר|י|ג|ב|י|
j|u|a|n|d|e|	ח|ו|א|נ|ד|י|
c|a|n|t|o|n|a|	ק|א|נ|ט|ו|נ|א|
s|t|r|a|s:s|e|r|	ס|ט|ר|א|ס|י|ר|
h:a|r|i|s:s|a|	ח|ר|י|ס|א|
d|u|h|a|m:e|l|	ד|ו|ה|א|מ|ל|
r|o|d|o|l|f|o|	ר|ו|ד|ו|ל|פ|ו|
r|o|s|e:n|b|l|a|t:t|	ר|ו|ז|נ|ב|ל|א|ט|
k:a|d|y|r|o|v|	ק|ד|י|ר|ו|ב|
l|o|r|n|a|	ל|ו|ר|נ|א|
c|a|m|i:l|l:e|	ק|א|מ|י|ל|
k|a|p|o:o|r|	ק|א|פ|ו|ר|
p|i|o|l|i|n:e|	פ|י|ו|ל|י|ן|
r|o|m|u|l|o|	ר|ו|מ|ו|ל|ו|
m|a|d|e|r|n|o|	מ|א|ד|י|ר|נ|ו|
p|u|l|i|	פ|ו|ל|י|
p|u|s:h|k|i|n|	פ|ו|ש|ק|י|ן|
f|u|m|i|o|	פ|ו|מ|י|ו|
t:h|e|m|b|i:n|k|o|s|i|	ת|י|מ|ב|נ|ק|ו|ס|י|
v|e|n|e|z|i|a|	ו|י|נ|י|ז|י|א|
e|m|e:r|s|o|n|	א|מ|ר|ס|ו|ן|
t|a|f|e:r|	ט|א|פ|ר|
h|o|s|k|i|n|s|	ה|ו|ס|ק|י|נ|ס|
b|o|z|o|l|j|a|c|	ב|ו|ז|ו|ל|ג:'|א|ק|
n|a|g|m|a|	נ|א|ג|מ|א|
a|r:a|f|a|t|	ע|ר|פ|א|ת|
a|d|l|e:r|	א|ד|ל|ר|
l|y|n:n|d|i:e|	ל|י|נ|ד|י|
k:h|o|d|a|d|a|d|	ח|ו|ד|א|ד|א|ד|
l|a|z:z|a|r|o|	ל|א|ז|א|ר|ו|
m|a|x|i:m|i:l|i|e|n|	מ|א|ק:ס|מ|ל|י|א|ן|
m|c|b|e|a:l|	מ|ק|ב|י|ל|
a|p|o|l:l|o|	א|פ|ו|ל|ו|
l|a|c|a|r|n:e|	ל|א|ק|א|ר|ן|
h|a|r|a|n|	ח|א|ר|א|ן|
k|l|i|n|g|	ק|ל|י|נ|ג|
s:h|i|n|r|i|k|y|o|	ש|י|נ|ר|י|ק|י|ו|
i|v|r|y|	א:י|ב|ר|י|
m|u|s|c|a|t|	מ|ו|ס|ק|א|ט|
s|y|l|v|a|	ס|י|ל|ב|א|
j|o|a|c:h|i|m|	ג:'|ו|א|ק|י|ם|
m:a|i|r|e|a:d|	מ|י|ר|י|ד|
c|o|p:e|n|h|a|g|e:n|	ק|ו|פ|נ|ה|א|ג|ן|
m|u|r|t|y|	מ|ו|ר|ט|י|
m|e|l|v|i:l|l:e|	מ|י|ל|ב|י|ל|
r|e|i|z|i|g|e|r|	ר|א|י|ז|י|ג|י|ר|
r|a|t|k|o|	ר|א|ט|ק|ו|
h|o|n|s:h|u|	ה|ו|נ|ש|ו|
w:o|o|d|c|o|c:k|	ו|ו|ד|ק|ו|ק|
f|r|a|n|c|i|l:e|u|d|o|	פ|ר|א|נ|ס|י|ל|ו|ד|ו|
p|e|t|r|a|	פ|י|ט|ר|א|
g|u|a|d:e|l|o:u|p:e|	ג|ו|א|ד|ל|ו|פ|
a|r|t|e|m|i|s|	א|ר|ט|י|מ|י|ס|
p|e|t|r|i|	פ|י|ט|ר|י|
f|i|a|l|a|	פ|י|א|ל|א|
e|b|o|l|i|	א|ב|ו|ל|י|
p|o|p|l|u|h|a|r|	פ|ו|פ|ל|ו|ה|א|ר|
m|a|n:n|i|n|g|	מ|א|נ|י|נ|ג|
o:u|e:d|	ו|ד|
m|n|a|j|e:d|	מ|נ|א|ג:'|ד|
s|a|n|a|d|e:r|	ס|א|נ|א|ד|ר|
c:h|i|r|a|c|	ש|י|ר|א|ק|
c:h|a|d|i:l|i|	ש|א|ד|ל|י|
m|e|t:h|a|n:e|	מ|י|ת|י:י|ן|
j|u|n|g|h|a|n|s|	י|ו|נ|ג|ה|א|נ|ז|
h|o|l:l|i|s|	ה|ו|ל|י|ס|
t:e|r:e|s:h|k|o|v|a|	ט|ר|ש|ק|ו|ב|א|
n|o|r|i|k|o|	נ|ו|ר|י|ק|ו|
p|o|d|e|s|t|a|	פ|ו|ד|י|ס|ט|א|
s|e:n|	ס|ן|
g|e|o|l|o|g|y|	ג|י|':ו|ל|ו|ג:'|י|
c|y|p|r|u|s|	ס:א|י|פ|ר|ו|ס|
p|a|u|l|i|n|a|	פ|א|ו|ל|י|נ|א|
l:e|n|	ל|ן|
m:e|n|	מ|ן|
g|i:u|l|i|a|n|i|	ג:'|ו|ל|י|א|נ|י|
r|o|v|i|n|j|	ר|ו|ב|י|נ|ג:'|
v|a|l|k|y|r|i:e|	ו|א|ל|ק|י|ר|י|
c:h|a|p:p|u|z|e|a:u|	ש|א|פ|ו|ז|י|ו|
w:o|o|d|r|o:w|	ו|ו|ד|ר|ו|
m|b|o|	מ|ב|ו|
m|i|n|g|y|u|	מ|י|נ|ג|י|ו|
p|o|l:l|y|	פ|ו|ל|י|
d|o|r|i|g|o|	ד|ו|ר|י|ג|ו|
e|f|r|a:t|	א|פ|ר|ת|
h:e|i|t|i|n|g|a|	ה|י|ט|י|נ|ג|א|
s|a|i|v|e|t|	ס|א|י|ב|י|ט|
p|i|m|	פ|י|ם|
b:e|l|i|t|u|n|g|	ב|ל|י|ט|ו|נ|ג|
j|i|m|	ג:'|י|ם|
k|i|m|	ק|י|ם|
l|o|d|o|v|i|c|o|	ל|ו|ד|ו|ב|י|ק|ו|
m|a|r|c|o|	מ|א|ר|ק|ו|
n|o|g|l|y|	נ|ו|ג|ל|י|
s|e|p:p|i|	ס|י|פ|י|
t|o|l|e|d|o|	ט|ו|ל|י|ד|ו|
l:e|e|k|e:n|s|	ל|י|ק|נ|ז|
c|o|n|d|o|l:e|e|z:z|a|	ק|ו|נ|ד|ו|ל|י|ז|א|
s|w|a|z|i|l|a|n|d|	ס|ו|א|ז|י|ל|א|נ|ד|
h|u|p:p|e|r|t|	ה|ו|פ|י|ר|ט|
b|o:h|d|a|n|	ב|ו|ד|א|ן|
r|o|m:m|e:l|	ר|ו|מ|ל|
z|i|t|k|a|	ז|י|ט|ק|א|
m:e|j|d|i|	מ|ג:'|ד|י|
s|o|j|o:u|r|n|e:r|	ס|ו|ג:'|ו|ר|נ|ר|
h|a|r|y|a|n|a|	ה|א|ר|י|א|נ|א|
s|u|	ס|ו|
l|u|c|i|o|	ל|ו|ס|י|ו|
b|u|	ב|ו|
a|l|d:a|i|r|	א|ל|ד|י:י|ר|
l|e|o|n|o|r|	ל|י|ו|נ|ו|ר|
t:h|e|o|f|a|n|i|s|	ת|י|ו|פ|א|נ|י|ס|
f|l|o|r|i|a|n|	פ|ל|ו|ר|י|א|ן|
l|u|c|i|a|	ל|ו|ס|י|א|
e|s:s|e:n|	א|ס|ן|
g|l|o|v|e:r|	ג|ל|ו|ב|ר|
c|l|i|n|t|	ק|ל|י|נ|ט|
c|h|a|m|b|e:r|l:a|i|n|	צ:'|י|י|מ|ב|ר|ל|י|ן|
s:h|e|r|i|d|a|n|	ש|י|ר|י|ד|א|ן|
e|d|w|a|r|d|s|	א|ד|ו|א|ר|ד|ז|
w|a|l|t|	ו|א|ל|ט|
j|o|s|e:f|	ג:'|ו|ס|ף|
k|e|l:l|y|	ק|י|ל|י|
h|a|w|i|	ח|א|ו|י|
f|o|r:r|e:s|t|e:r|	פ|ו|ר|ס|ט|ר|
l|u|t:h|e:r|	ל|ו|ת|ר|
z|u|b|i|z|a|r:r|e|t|a|	ז|ו|ב|י|ז|א|ר|י|ט|א|
b|u|l:l|e:h|	ב|ו|ל|ה|
l|e|n|d|v|a|i|	ל|י|נ|ד|ב|א|י|
s:e|i|f|e|r|t|	ס|י|פ|י|ר|ט|
l|o|t|a|	ל|ו|ט|א|
b|l|u:i|t|g|e:n|	ב|ל|ו|ט|ג|ן|
c|h:a|n|e:l|	צ:'|א|נ|ל|
s|t|u|r|t|	ס|ט|ו|ר|ט|
h|s|i|e:n|	ח|ס|י|ן|
r|o|t:t|e:r|d|a|m|	ר|ו|ט|ר|ד|א|ם|
r|o|b:b|e:n|	ר|ו|ב|ן|
h|a|r|t|m|a|n:n|	ה|א|ר|ט|מ|א|ן|
s:h|i|t:t|u|	ש|י|ט|ו|
t|o|m|a|s|o|	ט|ו|מ|א|ס|ו|
a|d|o|n|i|s|	א|ד|ו|נ|י|ס|
b:e|l|m|o|n|t|	ב|ל|מ|ו|נ|ט|
m|i|n|a|m|o|t|o|	מ|י|נ|א|מ|ו|ט|ו|
j|o|h|a|n:n|e:s|b:u|r|g|	ג:'|ו|ה|א|נ|ס|ב|ר|ג|
v|a|l:l|e|t:t|a|	ו|א|ל|י|ט|א|
c|o|r:r|a|d|i|	ק|ו|ר|א|ד|י|
t|i|b|e|r|i|a|s|	ט|א:י|ב|י|ר|י|א|ס|
t:a|l|m|u|d|	ת|ל|מ|ו|ד|
b|a|s|t|i|a|n|	ב|א|ס|ט|י|א|ן|
y|a|n:n|i|s|	י|א|נ|י|ס|
f|l|o|r|i|a|n|o|p|o|l|i|s|	פ|ל|ו|ר|י|א|נ|ו|פ|ו|ל|י|ס|
r|o|l:l|o|	ר|ו|ל|ו|
n|o|b:e|l|	נ|ו|ב|ל|
b|i|s|m|a|r|c:k|	ב|י|ס|מ|א|ר|ק|
t|o|r|k|	ט|ו|ר|ק|
d|r:e|s|d:e|n|	ד|ר|ס|ד|ן|
d|i|n|i|y|a|r|	ד|י|נ|י|י|א|ר|
