G|i|b|r|a|l|t|á|r:i|	G|i|b|r|a|l|t|a|r|
L|e|s|h|a|n:i|	L|e|s|h|a|n|
B|u|f|f|a|v|e|n|t|ó:i|	B|u|f|f|a|v|e|n|t|o|
S|c|h|ø|n|e|	S|c|h|ö|n|e|
B|o|v|e|s|ì|a|	B|o|v|e|s|i|a|
K|a|n|d|í|l|	K|a|n|d|i|l|
R|á|d|	R|a|d|
T|i|j|u|a|n|a:i|	T|i|j|u|a|n|a|
A|t|b|a|r|a|	A|t|b|a|r|a:h|
A|n|a|b|a|s:z|i|s:z|	A|n|a|b|a|s|i|s|
D|a|i|k|a|n|r|a|n|s|a|	D|a|i|k|a|n|r|a|n|s:h|a|
E|l|é|n|i|	E|l|e|n|i|
s|p|e|c|i|a|l|i|s|t:a|	S|p|e|c|i|a|l|i|s|t|
C|a|p|a|r|e|l|l|i|	C|a|p:p|a|r|e|l|l|i|
L|e|n|i|n|g|r|á|d|s:z|k:i|j|	L|e|n|i|n|g|r|a|d|s|k|y|
P|a|r|k|i|n|s|o|n|	P|a|r|k|i|n|s|o:n|':s|
C|a|n|d|e|l|a|r|i|a:i|	C|a|n|d|e|l|a|r|i|a|
L|o|b|k|o|w|i|t:z|	L|o|b|k|o|w|i:c|z|
K|a|t|e|r|i|n|a|	K|a|t|e|r|y|n|a|
D|a|y|t|o|n:i|	D|a|y|t|o|n|
B|o|g|d:o|	B|o|g|d|
V|i|e|t|n|a|m:i|	V|i|e|t|n|a|m|
M|ü|n|c|h:h|a|u|s|e|n|	M|u|n|c|h|a|u|s|e|n|
M|i|l|t|i|a|d|é|s:z|	M|i|l|t|i|a|d|e|s|
K|e|r|m|á|n|s|á|h|	K|e|r|m|a|n|s:h|a|h|
U|r|o|p|o|r|f|i|r|i|n|o|g|é|n|	U|r|o|p|o|r|p:h|y|r|i|n|o|g|e|n|
A|l|l|e|r|g|i|á:s|	A|l|l|e|r|g|i|c|
A|n|d|r|o|g|é|n|	A|n|d|r|o|g|e|n|
M|o|r|g|a|n|é:k|?|	M|o|r|g|a|n|s|?|
D|e|c|e|b|a|l|	D|e|c|e|b|a:l|u:s|
P|o|k|o|r|n|y|	P|o|k|o|r|n|ý|
G|a|b|o|n:i|	G|a|b|o|n|
L|a|g|á|n|	L|a|g:a|a|n|
P|a|r|ó:i|	P|a|r|o|
K|o|s|n|a|	C|o|ş|n|a|
C|ă|u|ş|e|n|i|	C|ă|u|ș|e|n|i|
E|v|á|n|g|e|l|o|s:z|	E|v|a|n|g|e|l|o|s|
R|e|g|i|o|n|á:l|i:s|	R|e|g|i|o|n|a|l|
G|o|r|o|d|о|v|i|k|o|v|s|z:k|i|	G|o|r|o|d|o|v|i|k|o|v|s|k|y|
z|y|g|o|m|a|t|i|c|o|t|e|m|p|o|r|a|l:e|	Z|y|g|o|m|a|t|i|c|o|t|e|m|p|o|r|a|l|
B|z|u|r|a:i|	B|z|u|r|a|
h|e|x|a|f|l|u|o|r|o|r|o|d|á|t|	h|e|x|a|f|l|u|o|r|o|r|h:o|d|a|t:e|
M|i|l|á|n|ó:–|B|o|l|o|g|n|a|	M|i|l|a|n|–|B|o|l|o|g|n|a|
A|g|a|p|é|	A|g|a|p|e|
D|e|n|d|e|r|a:i|	D|e|n|d|e|r|a|
S|a|r|m|i|s|e|g|e|t|h:u|z|a|	S|a|r|m|i|z|e|g|e|t|u|s|a|
A|k|k|á|d|	A|k|k|a|d|
M|o|k|l|o|b|e|m|i|d|	M|o|c|l|o|b|e|m|i|d:e|
k|a|l|e|d|ó|n|i|a|i|	C|a|l|e|d|o|n|i|a|n|
P|a|	P|å|
T|e|r|i|l|l|o:s|z|	T|e|r|i|l|l|u|s|
i|n|t|e|g|r|á|c|i|ó|	i|n|t|e|g|r|a|t|i|o:n|
T|o|b|o|l|s|z:k|i|	T|o|b|o|l|s|k|y|
C|h|o|m|u|t|o|v:i|	C|h|o|m|u|t|o|v|
Ó|e|	Ō|e|
D|r|ô|l|e|r|i|e|	D|r|o:l|l|e|r|i|e:s|
V|u|k|t|i|l|	V|u|k|t|y|l|
T|a|b|á|n|	T|a|b|a|n|
P|r|o|g|r|e|s|s:z|í|v|	P|r|o|g|r|e|s|s|i|v:e|
R|a|n|i|l|o|v|i|č|	R|a|n|i|l|o|v|i|ć|
A|d|é|l|e|	A|d|è|l|e|
s|w|a|i|n|s|o|n:i|i|	S|w|a|i|n|s|o|n|':s|
p|o|s|t|e|r|i|u|s|	P|o|s|t|e|r|i|o|r|
K|l|a|d|n|o:i|	K|l|a|d|n|o|
F|i|l|o|m|é|n|a|	F|i|l|o|m|e|n|a|
s|t|á|t|u|s:z|	s|t|a|t|u|s|
T|h|e|ó|n|	T|h|e|o|n|
m|o|n|o|n|i|t|r|á|t|	m|o|n|o|n|i|t|r|a|t:e|
a|d|e|n|o|z|i|n|	a|d|e|n|o|s|i|n:e|
P|ó|r|t|i|c|o|	P|o|r|t|i|c|o|
M|o|n|s|t|r|a|n|c|i:a|	M|o|n|s|t|r|a|n|c|e|
S|a|r|m|a|s|á|g|	S|ă|r|m|ă|ş|a|g|
T|r|i|á|d|a|	T|r|i|a|d|a|
H|e|x|a|z|i|n|	H|e|x|a|z|i|n:e|
I|m|o|l|a|m|i|n|	I|m|o|l|a|m|i|n:e|
B|o|s|k|o|v|i|ć|	B|o|s|k|o|v|i|c|
A|r|t|a|b|a|s:z|d|o|s:z|	A|r|t|a|b|a|s|d|o|s|
e|x|t|r|é|m|	E|x|t|r|e|m:e|
T|a|m|p|e|r|e:i|	T|a|m|p|e|r|e|
B|u|r|k|a|	B|u|r|q|a|
L|a|d|ó|n|	L|a|d|o|n|
E|r|o|t|i|k|a|	E|r|o|t|i|c|a|
M|u|n|t|é|n|i|a|	M|u|n|t|e|n|i|a|
N|u|m|i|n|ó|z:u|s|	N|u|m|i|n|o|u|s|
P|u|t|t|y|	P|u|t|t|i|
R|o|h|a|n:i|	R|o|h|a|n|
p|r|o|c|e|s|s:z|o|r|	P|r|o|c|e|s|s|o|r|
P|r|e|d|e|s|z:t|i|n|á|c|i|ó|	P|r|e|d|e|s|t|i|n|a|t|i|o:n|
V|e|r|o|n|i|k|a|	V|e|r|o|n|i|c|a|
E|m|s|l|a|n|d:i|	E|m|s|l|a|n|d|
S|u|p|e|r|e|s|s|i|v|u:s|	S|u|p|e|r|e|s|s|i|v|e|
T|h|e|o|d|ó|r|a|	T|h|e|o|d|o|r|a|
m|u|s|i|c|a|l:?|	M|u|s|i|c|a|l|
F|l|e|u|r|u|s:i|	F|l|e|u|r|u|s|
L|é|t|h|é|	L|e|t|h|e|
N|i|k|á|k|i|s:z|	N|i|k|a|k|i|s|
M|e|r|i|r|é|	M|e|r|y|r|e|
A|n|t|i|g|o|n|e:i|a|	A|n|t|i|g|o|n|e|a|
T|a|z|o|z|a|r|t|á|n|	T|a|s|o|s|a|r|t|a|n|
s|t|y|l|e|s:i|	S|t|y|l|e|s|
C|i|v|i|l|i|z|á|c|i|ó|k|	C|i|v|i|l|i|z|a|t|i|o:n|s|
c|e|l|l:a|	C|e|l|l|
P|e|t|i|t|	p|e|t|i|t:i|
A|n|t|i|g|o|n:e|i|a|	A|n|t|i|g|o|n|i|a|
A|m|b|e|r|g:i|	A|m|b|e|r|g|
T|e|r|b|i|n|a|f|i|n|	T|e|r|b|i|n|a|f|i|n:e|
M|a|l|a|c|h|i|t|	M|a|l|a|c|h|i|t:e|
Q|u|e|d|l|i|n|b|u|r|g:i|	Q|u|e|d|l|i|n|b|u|r|g|
P|r|o|x|e|m|i|k|a|	P|r|o|x|e|m|i|c|s|
V|i|b|r|á|t|o|r|	V|i|b|r|a|t|o|r|
P|á|n|h|e|l|l|é|n|	P|a|n|h|e|l|l|e:n|i:c|
B|e|r|n|a|b|é|	B|e|r|n|a|b|e|
B|r|i|z|h|i|n|a|	B|r|y|z|h|i|n|a|
P|r|o|c|e|s:s|u:s|	p|r|o|c|e|s|s|
a|l|e|p|p|ó:i|	A|l|e|p|p|o|
B|a|n|g|l|a|d|e|s|i|	B|a|n|g|l|a|d|e|s:h|i|
v|a|n|á|d|i|u|m|	v|a|n|a|d|i|u|m|
H|a|n|s|	H|a:n|n|s|
K|o|p|r|a|	C|o|p|r|a|
T|v|ø|r|o|y|r|i|	T|v|ø|r|o|y|r|a:r|
G|o|t|h|a:i|	G|o|t|h|a|
D|'|A|l|e|m|b|e|r|t|	D|'|A|l|e|m|b|e|r:t|':s|
c|e|r|v|i|c|a:l|i:s|	c|e|r|v|i|c|a|l|
V|i|n|p|o|c|e|t|i|n|	V|i|n|p|o|c|e|t|i|n:e|
V|e|n|k|a|t|r|á|m|a|n|	V|e|n|k|a|t|r|a|m|a|n|
L|o|p|ö|n|	L|o|p|o|n|
A|l|l|u|v|i|á:l|i:s|	A|l|l|u|v|i|a|l|
Z|d|e|n|k|ó|	Z|d|e|n|k|o|
K|á|n|a|á|n|	C|a|n|a|a|n|
B|e|n|t|o|n|i|t|	B|e|n|t|o|n|i|t:e|
V|o|l|o|k|o|l|a|m|s|z:k|i|	V|o|l|o|k|o|l|a|m|s|k|y|
I|r|é|n|	I|r|e|n:e|
L|e|u|v|e|n:i|	L|e|u|v|e|n|
A|l|e|x|a|n|d|r|i|n|a|	A|l|e|x|a|n|d|r|i|n|e|
L|u|g|a|n|ó:i|	L|u|g|a|n|o|
B|i|o|c|i|d|	B|i|o|c|i|d:e|
S|t|ä|g|e|m|a|n|n|	S|t|a:e|g|e|m|a|n|n|
F|e|n|i|l|k|e|t|o|n|u|r|i|a|	P:h|e|n|y|l|k|e|t|o|n|u|r|i|a|
K|á|b|a|	K:a|a|b|a|
Z|a|r|i|n|s|z:k|i|	Z|a|r|i|n|s|k|y|
A|l|k|a|l|ó|z|i|s|	A|l|k|a|l|o|s|i|s|
L|a|z|á|r|o|s:z|	L|a|z|a|r|o|s|
M|e|l|a|n|t|e|r|i|t|	M|e|l|a|n|t|e|r|i|t:e|
k|a|t|a|l|ó|g|u|s|	c|a|t|a|l|o|g|u|e|
A|l|l|e|g|ó|r|i:a|	A|l|l|e|g|o|r|y|
B|a|ť|a|	B|a|t|a|
B|r|o|t|i|z|o|l|á|m|	B|r|o|t|i|z|o|l|a|m|
O|x|i|g|é|n|	O|x|y|g|e|n|
Í|l|i|o|n|	I|l|i|o|n|
C|l|o|n|t|a|r|f:i|	C|l|o|n|t|a|r|f|
A|g|a|r|e|s|z:t|	A|g|a|r|e|s|t|
T|u|r|á|n:i|	T|u|r|a|n|
K|a|p|í|n|o|	K|a|p|i|n|o|
E|r|g|o|t|é|l|i|s:z|	E|r|g|o|t|e|l|i|s|
T|h|u|n|d|e|r|m|a|n|	T|h|u|n|d|e|r|m|a|n:s|
B|u|r|k|i|n|a|	B|u|r|k|i|n:a|b:é|
K|a|v|á|l|a|	K|a|v|a|l|a|
S|o|m|l|ó:i|	S|o|m|l|ó|
M|e|g|a|r|a:i|	M|e|g|a|r|a|
S|c|h|ö|n|b|r|u|n|n:i|	S|c|h|ö|n|b|r|u|n|n|
U|p|p|a|l|a|v|a|n|n|á|	U|p|p|a|l|a|v|a|n|n|a|
"|W|h|a|t|	\:"|W|h|a|t|
A|n|g|é|l|a|	A|n|g|e|l|a|
I|d|e|á|l|	I|d|e|a|l|
M|o|h|a|m|a|d|o|u|	M|o|h|a|m|a|d|o|l:u|
i|n|v|a|l|i|d|i|	I|n|v|a|l|i|d|y|
D|u|r|a|z|z|ó:i|	D|u|r|a|z|z|o|
b|á|ó|m|e|r|	B|a|O|m|e|r|
r|o|d|r|i|g|u|e|z|i|	R|o|d|r|i|g|u|e|z|':s|
A|z|a|n|i|d|a|z|o|l|	A|z|a|n|i|d|a|z|o|l:e|
G|u|i|n|e|a:i|	G|u|i|n|e|a|
G|a|b|a|k|u|l|i|n|	G|a|b|a|c|u|l|i|n:e|
V|a|l|e|n|t|ó|c|	V|a|l|e|n|t|o:v|c:e|
I|n|s|t|i|t|u|t|o|	I|n|s|t|i|t|u|t|e|
T|i|r|a|n|a:i|	T|i|r|a|n|a|
D|a|r|j|e|e|l|i|n:g|b:e|	D|a|r|j|e|e|l|i|n|g|
a|l|o|é|	A|l|o|e|
V|o|l|g|a:i|	V|o|l|g|a|
R|o|l|c|i|k|	R|o|l|č|í|k|
Á|g|ó|	A|g|o|
B|e|n|z|a|m|i|d|	B|e|n|z|a|m|i|d:e|
M|a|t|m|á|t|a|	M|a|t|m|a|t|a|
M|a|u|l|b|r|o|n|n:i|	M|a|u|l|b|r|o|n|n|
D|i|a|z|e|p|á|m|	D|i|a|z|e|p|a|m|
B|a|m|b|e|r|g:i|	B|a|m|b|e|r|g|
R|ú|b|e|n|	R:e|u|b|e|n|
M|á|n|u|e|l|	M|a|n|u|e|l|
W|a|w|e|l:i|	W|a|w|e|l|
P|u|l|p|i|s|	P|o|l|p|í|s|
O|m|i|k|r|o|n|	O|m|i|c|r|o|n|
K|o|n|ó|n|	C|o|n|o|n|
E|l|e|f|t|h|e|r|í|a|	E|l|e|f|t|h|e|r|i|a|
J|e|r|o|b|o|á|m|	J|e|r|o|b|o|a|m|
N|a|d|í|r|	N|a|d|i|r|
K|l|o|z|a|p|i|n|	C|l|o|z|a|p|i|n:e|
P|e|t|r|o|p|a|v|l|o|v|s|z:k|	P|e|t|r|o|p|a|v|l|o|v|s|k|
H|o|r|v|á|t:i|	H|o|r|v|a|t|
D|i|n|a|m|o|	D|y|n|a|m|o|
A|c|e|t|a|n|i|l|i|d|	A|c|e|t|a|n|i|l|i|d:e|
d|i|a|m|i|n|	d|i|a|m|i|n:e|
D|é|m|ó|n|a|x|	D|e|m|o|n|a|x|
E|r|i|t|r|e|a:i|	E|r|i|t|r|e|a|
T|i|b|e|t:i|	T|i|b|e|t|
I|n|f|o|r|m|á:l|i:s|	I|n|f|o|r|m|a|l|
I|n|d|i|k|á|t|o|r|	I|n|d|i|c|a|t|o|r|
T|r|a|n|s:z|a|r|t|e|r|i|á:l|i:s|	T|r|a|n|s|a|r|t|e|r|i|a|l|
H|o|r|v|á|t|h|	H|o|r|v|a|t|h|
D|a|c|h|a|u:i|	D|a|c|h|a|u|
b|a|t|t|e|n|b|e|r|g:i|	B|a|t|t|e|n|b|e|r|g|
E|u|l|o|g|i|o:s|z|	E|u|l|o|g|i|u|s|
t|e|m|p|o|r|a:l|i:s|	T|e|m|p|o|r|a|l|
A|n|k|e|r|i|t|	A|n|k|e|r|i|t:e|
m|o|n|o|x|i|d|	m|o|n|o|x|i|d:e|
Ú|z|	U|z|
M|á|g|h|a|	M|a|g|h|a|
P|ř|e|d|m|o|s|t|í:i|	P|ř|e|d|m|o|s|t|í|
O|r|o|n|t|é|s:z|	O|r|o|n|t|e|s|
N|e|u|w|i|e|d:i|	N|e|u|w|i|e|d|
S|y|l|e|j|m|a|n|	S|u|l|e|j|m|a|n|
K|a|l|c|i|u|m|	C|a|l|c|i|u|m|
T|r|a|n|s:z|n|i|s|z:t|r|i|a:i|	T|r|a|n|s|n|i|s|t|r|i|a|
O|n|o|g|u|r|	O|n|o|g|u|r:s|
P|o|b|e|d|i|	P|o|b|e|d|y|
T|o|n|n|a|	T|o|n|n|e|
P|r|o|p|a|f|e|n|o|n|	P|r|o|p|a|f|e|n|o|n:e|
H|o|b|ó|	H|o|b|o|
D|u|m|b|r|ă|v|e|ș|t|i|	D|u|m|b|r|ă|v|e|ş|t|i|
M|á|r|i|ó|	M|a|r|i|o|
B|i|o|g|á|z|	B|i|o|g|a|s|
f|u|r|o|á|t|	f|u|r|o|a|t:e|
T|á|b|o|r|	T|a|b|o|r|
M|e|l|o|d|i|k|a|	M|e|l|o|d|i|c|a|
N|u|i|t|h|o|n|e:s|e:k|	N|u|i|t|h|o|n|e|s|
K|o|m|p|a|t|i|b|i|l|i|t|á:s|	C|o|m|p|a|t|i|b|i|l|i|t|y|
M|e|z|o|a|m|e|r|i|k|a|	M|e|s|o|a|m|e|r|i|c|a|
U|c|k|a|	U|č|k|a|
I|m|p|a|k|t|i|t|	I|m|p|a|c|t|i|t:e|
M|a|n|z|á|r|d|	M|a|n|s|a|r|d|
V|e|r|h|o|e|v|e|n|	V|e|r|h|o|e|v|e:n|':s|
K|a|m|i|c|h|u|	K|a|m|i|c|h|u:!|
t|r|i|a|z|i|n|	t|r|i|a|z|i|n:e|
T|í|c|i|a|	T|i|c|i|a|
O|p|á|l|	O|p|a|l|
F|o|r|t|i|à|	F|o|r|t|i|a|
K|a|k|a|p|ó|	K|a|k|a|p|o|
D|é|l|i|a|	D|e|l|i|a|
N|a|t|t|ó|	N|a|t|t|ō|
Y|é|p|e|s|	Y|é|p|e|z|
H|a|b|a|k|u|k|	H|a|b|a|k:k|u|k|
G|ő|g|h|	G|ö|g|h|
C|u|n|e|n|e|	K|u|n|e|n|e|
S|p|i|r|o|n|o|l|a|k|t|o|n|	S|p|i|r|o|n|o|l|a|c|t|o|n:e|
K:o|r|b|a|v|a|	K|r|b|a|v|a|
D|y|b|o|w|s|k|i|	D|y|b|o|w|s|k:i|':s|
P|o|l|t|a|v|a:i|	P|o|l|t|a|v|a|
M|a|n|o|l|á|s:z|	M|a|n|o|l|a|s|
T|r|u|b|a|d|ú|r|	T|r|o:u|b|a|d|o:u|r|
z|é|t|a|	z|e|t|a|
v|i|t|a|l|i|s|	V|i|t|a|l|i|s:m|
O|r|s|o|v|a|	O|r|ș|o|v|a|
H|á|r|ú|n|	H|a|r|u|n|
P|ó|s|a|	P|o|š|a|
H|á|p|i|	H|a|p|i|
E|u|i|p|p|é|	E|u|i|p|p|e|
D|o|m|b|i|v|l|i|	D|o|m|b|i|v:a|l|i|
M|u|m|t|á|z|	M|u|m|t|a|z|
S|p|i|r|á|l|	S|p|i|r|a|l|
Z|o|ë|	Z|o|e|
f|a|r|m:i|	F|a|r|m|
F|e|n|f|o|r|m|i|n|	P:h|e|n|f|o|r|m|i|n|
K|e|m|e|r|o|v|ó:i|	K|e|m|e|r|o|v|o|
D|r|u|i|d:a|	D|r|u|i|d|
B|a|l|s|a|	B|a|l|ş|a|
K|ó|l|ó|	K|o|l|o|
A|b|u|l|i|a|	A|b|o:u|l|i|a|
B|o|g|o|r|o|d|s|z:k|	B|o|g|o|r|o|d|s|k|
Q|o|b|u|s|t|a|n:i|	G|o|b|u|s|t|a|n|
B|a|r:a|c|a|	B|a|r|c|a|
B|u|t|á|n|	B|u|t|a|n:e|
S|z|ő|d|f|a|l|v|i|	S|z|ő|d|f|a|l|v|a|
K|a|t|h|á|k|a|l|i|	K|a|t|h|a|k|a|l|i|
B|h|u|t|á|n|	B|h|u|t|a|n|
B|r|č|k|ó:i|	B|r|č|k|o|
P|e|t|r|i|l:l|a|	P|e|t|r|i|l|a|
l|a|k|t|á|m|	l|a|c|t|a|m|
B|o|n|a|v|e|n|t|u|r|a|	B|o|n|a|v|e|n|t|u|r|e|
M|a|n|a|s|s:z|e|s:z|	M|a|n|a|s|s|e|s|
k|a|l|e|d|ó|n|i|a:i|	C|a|l|e|d|o|n|i|a|
B|a|b|i|r|u|s:s|z:a|	b|a|b|i|r|u|s|a|
B|u|n|e|ș|t|i|	B|u|n|e|ş|t|i|
S|a|l|g|ó|c:s|k|a|	Š|a|l|g|o|č|k|a|
A|r|i|p|i|p|r|a|z|o|l|	A|r|i|p|i|p|r|a|z|o|l:e|
B|r|i|t|n|e|y|	B|r|i|t|n|e:y|':s|
h|e|x|a|f|l|u|o|r|i|d|	h|e|x|a|f|l|u|o|r|i|d:e|
F|o|l|é|g|a|n|d|r|o|s:z|	F|o|l|e|g|a|n|d|r|o|s|
I|z|r|a|e|l|	I|s|r|a|e|l|
T|e|r|a|t|o|l|ó|g|i:a|	T|e|r|a|t|o|l|o|g|y|
T|u|r|u|m|a|g|i|	D|u|r|u|m|a|g|i|
H|e|r|m|a|n|a|f|r|i|e:d|	H|e|r|m|a|n|a|f|r|i|d|
A|d|a|p|t|á|c|i|ó|	A|d|a|p|t|a|t|i|o:n|
p|i|l|ó|t:a|	P|i|l|o|t|
s|p|i|r|á|l|	s|p|i|r|a|l|
K|o|m|m|u|n|i|s|t:a|	C|o|m|m|u|n|i|s|t|
B|e|l|a|i|d|	B|e|l:l|a|ï|d|
p|r|o|t|o|k|o|l:l|	P|r|o|t|o|c|o|l|
T|a|s|n|á|d|y|	T|a|s|n|a|d|y|
d|i|b|e|n|z|o|d|i|o|x|i|n|	d|i|b|e|n|z|o|d|i|o|x|i|n:s|
G|a|r|r|i|s|o|n|	G|a|r|r|i|s|o:n|':s|
R|á|k|ó|c|z|i|	R|a|k|o|c|z|i|
T|a|r|a|n|t|ó:i|	T|a|r|a|n|t|o|
T|o|k|i|z|ó|	T|o|k|i|z|o|
P|a|n|k|u|r|ó|n|i|u|m|	P|a|n|c|u|r|o|n|i|u|m|
K|i|k|u|z|ó|	K|i|k|u|z|o|
M|u|t|n|e|	M|ú|t|n|e|
W|ü|r|t|t|e|m|b|e|r|g:i|	W|ü|r|t|t|e|m|b|e|r|g|
E|s|s|l|i|n|g|e|n:i|	E|s|s|l|i|n|g|e|n|
O|x|i|s:z|o|l|	O|x|i|s|o|l|
É|a|n|n|a|	E|a|n|n|a|
h|o|f|f|m|a|n|n|s|i|	H|o|f|f|m|a|n|n|s|':s|
B|i|o|e|n|e|r|g|i:a|	B|i|o|e|n|e|r|g|y|
T|r|i|b|o|n|i|a:n|u:s|	T|r|i|b|o|n|i|a|n|
W|a|s|s|e|n|a|a|r:i|	W|a|s|s|e|n|a|a|r|
A|e|r|o|b|i|k|	A|e|r|o|b|i|c|
k|e|t|o|n|	k|e|t|o|n:e|
M|i|k|v|e|	M|i|k|v|e:h|
e|t|h|m|o|i|d|a:l|i:s|	e|t|h|m|o|i|d|a|l|
E|g|é|r|	E|g|e|r|
B|o|z|a|n|i|ć|	B|o|z|a|n|i|c|
P|h|e|i|d|i|p|p|i|d|é|s:z|	P|h|e|i|d|i|p|p|i|d|e|s|
S|i|o|t|a|n|i|	S:h|i|o|t|a|n|i|
P|o|r|t|u|g|á:l|i:a|	P|o|r|t|u|g|a|l|
W|i|l|t|o|n:i|	W|i|l|t|o|n|
M|ü|r|ó|n|	M|y|r|o|n|
Z|e|e|b|r|u|g|g|e:i|	Z|e|e|b|r|u|g|g|e|
f|u|n|d|ó|	f|u|n|d|o|
A|l|l|á|l|	A|l|l|a|l|
N|i|t|r|o|f|u|r|á|l|	N|i|t|r|o|f|u|r|a|l|
N|á|n|a|k|	N|a|n|a|k|
O|r|i|n|o|c|ó:i|	O|r|i|n|o|c|o|
M|a|r|t|o|n|o|s|	M|a|r|t|o|n|o|š|
T|a|u|	T|à|u|
s|p|i|r|á|l|	s|p|i|r|a|l:s|
v|í|r|u|s|	v|i|r|u|s|
b|a|k|t|é|r|i|u|m|	b|a|c|t|e|r|i|u|m|
T|r|a|f|a|l|g|a|r:i|	T|r|a|f|a|l|g|a|r|
P|r|o|p|á|n|	P|r|o|p|a|n:e|
b|u|t|i|l|	b|u|t|y|l|
P|o|s|a|d|a:i|	P|o|s|a|d|a|
G|e|g|a|r|k|o:u|n|i|k|	G|e|g:h|a|r|k|u|n|i|k|
B|e|a|u|m|a|r|i|s:i|	B|e|a|u|m|a|r|i|s|
J|á|k|o|b|	J|a|c|o|b|
O|r|s|z|á|c|z|k|y|	O|r|s|z|a|c|z|k|y|
l|í|r|a|	l|i|r|a|
k|á|n|o|n|	c|a|n|o|n|
E|r|o|t|o|m|á|n|i|a|	E|r|o|t|o|m|a|n|i|a|
F|a|n|n|i|	F|a|n|n|y|
H|a|r|s|á|n|y|i|	H|a|r|s|a|n|y|i|
T|ó|h|o|k|u|	T|ō|h|o|k|u|
H|i|l|á|l|i|	H|i|l|a|l|i|
A|l|i|b|u|n|á|r|	A|l|i|b|u|n|a|r|
a|n|k|a|r|a:i|	A|n|k|a|r|a|
B|e|h|b|a|h|á|n|i|	B|e|h|b|a|h|a|n|i|
P|a|r|a|l|d|e|h|i|d|	P|a|r|a|l|d|e|h|y|d:e|
K|a|t|i|	K|a|t|i:e|
M|u|l|t|i|c|e|l|l|á|s|	M|u|l|t|i|c|e|l|l|u:l|a:r|
K|u|l|p|a|	Q|u|l|p|a|
P|o|l|i|n|a|	P|o|l|i|n|y|
A|g|é|n|o|r|	A|g|e|n|o|r|
K|a|l|c|i|p|o|t|r|i|o|l|	C|a|l|c|i|p|o|t|r|i|o|l|
N|e|a|m|ț:i|	N|e|a|m|ț|
S|e|b|r|i|n|g:i|	S|e|b|r|i|n|g|
H|i|p|p|o|k|a|m|p|u|s:z|	H|i|p|p|o|c|a|m|p|u|s|
t|e|s|c|h|e|n:i|	T|e|s|c|h|e|n|
I|z|i|d|ó|r|a|	I|s|i|d|o|r|a|
W|e|b|e|n|s:z|e|n|u|	W|e|b|e|n|s|e|n|u|
A|n|g|é|l|i|q|u|e|	A|n|g|e|l|i|q|u|e|
U|l|l|m|a|n|n|	U|l|l|m|a:n|n|':s|
S|c|h|u|r|e|r|	S|c|h|ü|r|e|r|
c|i|v|i|l|i|z|á|c|i|ó|	c|i|v|i|l|i|z|a|t|i|o:n|
P|a|r|i|v|á|r|a|	P|a|r|i|v|a|r|a|
R|a|v|n|o|p|o|l|s|z:k|a|	R|a|v|n|o|p|o|l|s|k|a|
A|k|t|i|n|i|d|i|n|	A|c|t|i|n|i|d|i|n:e|
A|c|e|t|o|n|	A|c|e|t|o|n:e|
N|o|f|e|r|e|f|r|é|	N|e|f|e|r|e|f|r|e|
G|r|a|z:i|	G|r|a|z|
H|o|l|o|g|e|n|o|m|	H|o|l|o|g|e|n|o|m:e|
S|t|o|r|ž|i:č|e:m|	S|t|o|r|ž|i|č|
ó|c|e|á|n:i|	O|c|e|a|n|
T|e|c|h|n|o|f|ó|b|i|a|	T|e|c|h|n|o|p:h|o|b|i|a|
G|y|l|d|e|n|i|a|	G|y|l|d|é|n|i|a|
D|i|o|r|i|t|	D|i|o|r|i|t:e|
M|e|x|i|k|ó|	M|e|x|i|c|o|
P|a|r|a|n|o|r|m|á:l|i:s|	P|a|r|a|n|o|r|m|a|l|
A|z|o|v:i|	A|z|o|v|
K|ö|n|i|g|g|r|ä|t|z:i|	K|ö|n|i|g|g|r|ä|t|z|
N|i|k|o|m|é|d|i|a:i|	N|i|c|o|m|e|d|i|a|
M|a|n|o|m|é|t|e|r|	M|a|n|o|m|e|t|e|r|
M|e|r|i|t|a|t|o|n|	M|e|r|i|t|a|t|e|n|
t|o|n|g|a:i|	T|o|n|g|a|
b|i|o|t|e|c|h|n|o|l|ó|g|i:a|	B|i|o|t|e|c|h|n|o|l|o|g|y|
G|o|k|s|t|a|d:i|	G|o|k|s|t|a|d|
B|u|l|e|u|t|é|r|i|o|n|	B|o:u|l|e|u|t|e|r|i|o|n|
B|a|l|l|a|d:a|	B|a|l|l|a|d|
H|a|m|d|á|n|	H|a|m|d|a|n|
M|á|r|k|u|s|k|a|	M|a|r|k|u|š|k|a|
B|r|a|z|í|l|i|a|i|	B|r|a|z|i|l|i|a|n|
M|u|t|n|e|d|z:s|m|e|t|	M|u|t|n|e|d|j|m|e|t|
D|u|b|n|ó:i|	D|u|b|n|o|
P|i|r|o|x|i|k|á|m|	P|i|r|o|x|i|c|a|m|
A|s|b|ó|t|h|	A|s|b|o|t|h|
T|r|a|n|s:z|a|t|l|a|n|t|i|	T|r|a|n|s|a|t|l|a|n|t|i:c|
G|a|l|e|k|o|v|i|ć|	G|a|l|e|k|o|v|i|c|
H|o|r|m|o|z|g|á|n|	H|o|r|m|o|z|g|a|n|
F|l|u|v|o|x|a|m|i|n|	F|l|u|v|o|x|a|m|i|n:e|
D|o|p|a|m|i|n|	D|o|p|a|m|i|n:e|
